Month,Year,Target,Mandate Project Code
01,2026,"2,000,000",F403
01,2026,"5,370,340",F317
01,2026,"4,732,832",F318
01,2026,"3,066,667",F328
01,2026,"5,760,500",F351
01,2026,"25,000,000",F309
01,2026,"100,000,000",F25
01,2026,"166,667",F269
01,2026,"1,500,000",F124
01,2026,"300,000",WK78
01,2026,"4,066,000",F343
01,2026,"300,000",F24
01,2026,"663,197",F246
01,2026,"1,000,000",F252
01,2026,"400,000",F139
01,2026,"9,200,000",F362
01,2026,"400,000",F419
01,2026,"1,000,000",F371
01,2026,"290,000",WK25
01,2026,"13,000,000",F437
01,2026,"17,990,000",F439
01,2026,"1,000,000",F448
01,2026,"1,766,667",F449
01,2026,"1,000,000",F445
01,2026,"2,000,000",F455
01,2026,"3,690,000",WK62
01,2026,"3,200,000",F458
01,2026,"385,484",L01
01,2026,"1,500,000",F480
01,2026,"884,918",L02
01,2026,"633,011",L03
01,2026,"850,000",R01
01,2026,"241,500",L05
01,2026,"390,306",S10
01,2026,"4,710,001",F515
01,2026,"705,945",S14
01,2026,"4,381,000",F520
01,2026,"4,126,734",S19
01,2026,"180,000",F509
01,2026,"580,640",S20
01,2026,"190,000",B01
01,2026,"166,250",F545
01,2026,"735,259",S26
01,2026,"21,937,000",F548
01,2026,"70,000",WK115
01,2026,"1,027,620",R07
01,2026,"66,667",WK121
01,2026,"87,000",B03
01,2026,"775,000",F559
01,2026,"150,000",F560
01,2026,"2,340,000",F562
01,2026,"30,000,000",F564
01,2026,1,L07
01,2026,"125,000",L08
01,2026,"145,000",B05
01,2026,"300,000",F563
01,2026,1,F566
01,2026,1,F567
01,2026,1,WK126
01,2026,"166,667",F324
01,2026,"150,000",F76
01,2026,"166,667",F488
01,2026,"9,000,000",F486
01,2026,"500,000",WK95
01,2026,"166,667",WK113
01,2026,"4,700,000",WK127
01,2026,"1,315,272",F572
01,2026,"300,000",R06
01,2026,1,WK128
01,2026,1,F518
01,2026,"60,000",WK129
01,2026,"75,000",B06
01,2026,"10,000",F574
02,2026,"2,000,000",F403
02,2026,"5,370,340",F317
02,2026,"4,732,832",F318
02,2026,"3,066,667",F328
02,2026,"5,760,500",F351
02,2026,"23,000,000",F309
02,2026,"100,000,000",F25
02,2026,"169,701",F269
02,2026,"1,750,000",F124
02,2026,"300,000",WK78
02,2026,"5,168,000",F343
02,2026,"300,000",F24
02,2026,"696,447",F246
02,2026,"1,000,000",F252
02,2026,"300,000",F139
02,2026,"9,400,000",F362
02,2026,"400,000",F419
02,2026,"1,000,000",F371
02,2026,"290,000",WK25
02,2026,"11,813,936",F437
02,2026,"20,328,589",F439
02,2026,"1,000,000",F448
02,2026,"1,766,667",F449
02,2026,"1,000,000",F445
02,2026,"2,428,116",F455
02,2026,"3,870,000",WK62
02,2026,"3,400,000",F458
02,2026,"385,484",L01
02,2026,"1,500,000",F480
02,2026,"984,918",L02
02,2026,"550,000",L03
02,2026,"850,000",R01
02,2026,"371,500",L05
02,2026,"540,306",S10
02,2026,"4,760,001",F515
02,2026,"705,946",S14
02,2026,"7,688,000",F520
02,2026,"4,726,734",S19
02,2026,"230,000",F509
02,2026,"580,640",S20
02,2026,"228,000",B01
02,2026,"434,539",F545
02,2026,"735,259",S26
02,2026,"23,937,000",F548
02,2026,1,WK115
02,2026,"1,027,620",R07
02,2026,"66,667",WK121
02,2026,"145,000",B03
02,2026,"775,000",F559
02,2026,"150,000",F560
02,2026,"2,925,000",F562
02,2026,"45,000,000",F564
02,2026,1,L07
02,2026,"165,000",L08
02,2026,"217,500",B05
02,2026,"300,000",F563
02,2026,1,F566
02,2026,1,F567
02,2026,1,WK126
02,2026,"166,667",F324
02,2026,"150,000",F76
02,2026,"166,667",F488
02,2026,"9,000,000",F486
02,2026,"500,000",WK95
02,2026,"166,667",WK113
02,2026,1,WK127
02,2026,"3,288,180",F572
02,2026,"300,000",R06
02,2026,"500,000",WK128
02,2026,1,F518
02,2026,1,WK129
02,2026,"112,500",B06
02,2026,"10,000",F574
03,2026,"2,000,000",F403
03,2026,"5,370,340",F317
03,2026,"4,732,832",F318
03,2026,"3,066,667",F328
03,2026,"5,760,500",F351
03,2026,"23,000,000",F309
03,2026,"100,000,000",F25
03,2026,"163,633",F269
03,2026,"1,750,000",F124
03,2026,"230,000",WK78
03,2026,"5,766,000",F343
03,2026,"300,000",F24
03,2026,"763,197",F246
03,2026,"1,000,000",F252
03,2026,"300,000",F139
03,2026,"9,900,000",F362
03,2026,"404,035",F419
03,2026,"1,000,000",F371
03,2026,"257,750",WK25
03,2026,"12,813,936",F437
03,2026,"22,313,900",F439
03,2026,"1,000,000",F448
03,2026,"1,766,667",F449
03,2026,"1,000,000",F445
03,2026,"2,800,000",F455
03,2026,"4,940,000",WK62
03,2026,"3,446,814",F458
03,2026,"385,484",L01
03,2026,"1,500,000",F480
03,2026,"984,918",L02
03,2026,"633,011",L03
03,2026,"850,000",R01
03,2026,"371,500",L05
03,2026,"540,306",S10
03,2026,"4,910,000",F515
03,2026,"705,947",S14
03,2026,"9,181,000",F520
03,2026,"4,726,734",S19
03,2026,"197,680",F509
03,2026,"580,640",S20
03,2026,"285,000",B01
03,2026,"666,250",F545
03,2026,"735,259",S26
03,2026,"27,937,000",F548
03,2026,1,WK115
03,2026,"1,027,620",R07
03,2026,"66,667",WK121
03,2026,"145,000",B03
03,2026,"775,000",F559
03,2026,"150,000",F560
03,2026,"3,510,000",F562
03,2026,"54,000,000",F564
03,2026,1,L07
03,2026,"165,000",L08
03,2026,"290,000",B05
03,2026,"300,000",F563
03,2026,1,F566
03,2026,1,F567
03,2026,1,WK126
03,2026,"166,667",F324
03,2026,"150,000",F76
03,2026,"166,667",F488
03,2026,"9,000,000",F486
03,2026,"500,000",WK95
03,2026,"166,667",WK113
03,2026,1,WK127
03,2026,"7,398,405",F572
03,2026,1,R06
03,2026,"500,000",WK128
03,2026,1,F518
03,2026,1,WK129
03,2026,"150,000",B06
03,2026,"10,000",F574
01,2026,"166,667",F390
02,2026,"166,667",F390
03,2026,"166,667",F390
01,2026,"66,667",F517
02,2026,"66,667",F517
03,2026,"66,667",F517
01,2026,"474,826",S15
02,2026,"474,826",S15
03,2026,"474,826",S15
